question,contexts,answer,ground_truth
ASPICE PAM 3.1 버전의 주요 개선 사항은 무엇인가요?,"['ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다.\nINTAQ (International Quality Task Force)에서 관리하며, 자동차 산업의 특성에 맞게 조정된 프로세스 평가 모델을 제공합니다.\nAutomotive electronics and software suppliers를 대상으로 하며, 프로세스 개선과 능력 평가를 통해 자동차 소프트웨어 개발의 품질과 신뢰성을 보장합니다.']","ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.",ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
INTAQ와 VDA 관리하는 ASPICE 표준의 차이점은 무엇인가요?,"['ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다.\nINTAQ (International Quality Task Force)에서 관리하며, 자동차 산업의 특성에 맞게 조정된 프로세스 평가 모델을 제공합니다.\nAutomotive electronics and software suppliers를 대상으로 하며, 프로세스 개선과 능력 평가를 통해 자동차 소프트웨어 개발의 품질과 신뢰성을 보장합니다.']","ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.",ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE 평가의 법적적 요구사항은 무엇인가요?,"['ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다.\nINTAQ (International Quality Task Force)에서 관리하며, 자동차 산업의 특성에 맞게 조정된 프로세스 평가 모델을 제공합니다.\nAutomotive electronics and software suppliers를 대상으로 하며, 프로세스 개선과 능력 평가를 통해 자동차 소프트웨어 개발의 품질과 신뢰성을 보장합니다.']","ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.",ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
자동차 OEM이 공급업체에게 ASPICE 인증을 요구하는 법적 근거는 무엇인가요?,"['ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다.\nINTAQ (International Quality Task Force)에서 관리하며, 자동차 산업의 특성에 맞게 조정된 프로세스 평가 모델을 제공합니다.\nAutomotive electronics and software suppliers를 대상으로 하며, 프로세스 개선과 능력 평가를 통해 자동차 소프트웨어 개발의 품질과 신뢰성을 보장합니다.']","ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.",ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE와 IATF 16949의 차이점과 공통점은 무엇인가요?,"['ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다.\nINTAQ (International Quality Task Force)에서 관리하며, 자동차 산업의 특성에 맞게 조정된 프로세스 평가 모델을 제공합니다.\nAutomotive electronics and software suppliers를 대상으로 하며, 프로세스 개선과 능력 평가를 통해 자동차 소프트웨어 개발의 품질과 신뢰성을 보장합니다.']","ASPICE PAM (Process Assessment Model) 3.1은 ASPICE PAM (Process Assessment Model) 3.1으로, 2018년에 발표되어 ISO/IEC 15504의 최신 사례를 반영합니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.",ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
ASPICE Level 2 달성을 위한 최소한 요구사항은 무엇인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']","ASPICE Level 2 달성은 보통 6-12개월이 소요되며, 정의된 프로세스 목표, 성과 측정 시스템, 적절한 자원과 교육, 품질 보증 절차가 필요합니다. 특히 프로세스 준수 증거(정책, 절차, 기록, 산출물)가 체계적으로 확립되어야 합니다.",관리(Managed) - 정의된 목표 달성 및 프로세스 관리
Level 1에서 Level 2로 이동하기 위한 일반적인 소요 기간은 얼마인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']",Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,관리(Managed) - 정의된 목표 달성 및 프로세스 관리
Level 2 프로세스의 성공 지표는 어떻게 측정하나요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']",Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,관리(Managed) - 정의된 목표 달성 및 프로세스 관리
프리미엄 자동차 브란드가 Level 3을 요구하는 이유는 무엇인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']",Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
능력 등급별로 가장 많은 실패 원인은 무엇인가요?,"['Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다.\nLevel 2 달성을 위해서는 Defined process goals, Process performance monitoring, Adequate resources and training 등을 충족해야 합니다.\n준비에 필요한 증거물로는 Process policy and procedures, Quality plans and measurements, Training records 등이 있으며, 이는 평가 시 Assessor가 검토합니다.']",Managed (관리)(Process achieves defined goals and is controlled)는 대부분 자동차 OEM에서 기본적으로 요구하는 등급입니다. 이러한 ASPICE 프로세스와 요구사항은 자동차 소프트웨어 품질 보증과 국제 경쟁력 강화에 필수적입니다.,ASPICE 자동차 소프트웨어 프로세스 평가 및 인증에 관한 정확한 정보입니다.
